,Rank,Channel,Watch Time (Hours),Stream Time(Hours),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
0,1,xQcOW,103269362,3587,222720,27716,3246298,1734810,93036735,True,False,English
1,2,summit1g,101527955,3530,310998,25610,5310163,1370184,89705964,True,False,English
2,3,Gaules,94076515,8588,387315,10976,1767635,1023779,102611607,True,True,Portuguese
3,4,ESL_CSGO,66171969,8629,300575,7714,3944850,703986,106546942,True,False,English
4,5,Tfue,61183334,2061,285644,29602,8938903,2068424,78998587,True,False,English
5,6,Asmongold,61146651,1371,263720,42414,1563438,554201,61715781,True,False,English
6,7,NICKMERCS,56011253,2271,115633,24181,4074287,1089824,46084211,True,False,English
7,8,Fextralife,55031124,2464,68795,18985,508816,425468,670137548,True,False,English
8,9,loltyler1,48805949,2041,89387,22381,3530767,951730,51349926,True,False,English
9,10,Anomaly,47757165,1548,125408,12377,2607076,1532689,36350662,True,False,English
10,11,TimTheTatman,47240616,1813,142067,25664,5265659,1244341,50119786,True,True,English
11,12,LIRIK,47215504,2141,89170,21739,2666382,199077,50504526,True,False,English
12,13,Riot Games (riotgames),44577445,1347,639375,20960,4487489,497678,56855694,True,False,English
13,14,Rubius,43143877,971,240096,42948,5751354,3820532,58599449,True,False,Spanish
14,15,auronplay,40167042,676,170115,53986,3983847,3966525,41514854,True,False,Spanish
15,16,MontanaBlack88,40141016,1129,181600,33514,2911316,1101093,37189666,True,True,German
16,17,sodapoppin,38824007,1921,107833,19659,2786162,236169,39334821,True,True,English
17,18,풍월량 (hanryang1125),36444374,3020,26999,12201,494445,92205,34405975,True,False,Korean
18,19,alanzoka,34250064,1729,89153,19560,3445134,1325075,46515698,True,False,Portuguese
19,20,CohhCarnage,33820209,2920,43615,11343,1264808,124242,38718674,True,False,English
20,21,Lord_Kebun,32388317,2562,34830,12367,434200,137215,19645967,True,False,English
21,22,LCK_Korea,31939431,788,140557,39848,619382,255088,76225485,True,False,Korean
22,23,Castro_1021,30752618,1670,125133,17779,2411995,550678,22672980,True,False,English
23,24,DrDisrespect,30664707,1217,97540,23794,4450718,825004,43919410,True,False,English
24,25,TheRealKnossi,30194935,933,288459,24595,1260160,1082039,25342894,True,True,German
25,26,TheGrefg,29290112,914,538444,28887,3795667,3593081,47094362,True,False,Spanish
26,27,YoDa,28170618,2261,123796,12868,1792625,383130,38499423,True,False,Portuguese
27,28,Pestily,27662350,2305,168112,8481,616168,520342,24029726,True,False,English
28,29,한동숙 (handongsuk),27027798,2130,44976,12869,385250,73602,30610352,True,False,Korean
29,30,GamesDoneQuick,26985735,1457,234826,6734,1724316,113469,43345080,True,False,English
30,31,Solary,25776623,8108,24470,3187,493207,143569,48799554,True,False,French
31,32,Gotaga,25641855,2361,81644,10750,2401580,632118,39591707,True,False,French
32,33,MOONMOON,25464715,2078,24892,11220,923448,95776,13505898,True,True,English
33,34,DrLupo,25293533,2872,90696,8311,4115083,567795,47295386,True,False,English
34,35,OgamingLoL,24720131,8282,204491,3020,523758,115965,71583995,True,False,French
35,36,Myth,24653576,2246,122552,9396,6726893,1421811,37384058,True,False,English
36,37,Evelone192,24579037,1383,106900,16422,1075101,826433,47400543,True,False,Russian
37,38,nl_Kripp,24514962,2598,29316,9256,1379123,96793,20034033,True,False,English
38,39,LEC,24507198,761,305119,28830,973727,551345,25924096,True,False,English
39,40,dota2mc_ru,24411386,1111,182869,19495,428284,156721,38774178,True,False,Russian
40,41,Fresh,24402997,2461,57431,9728,3135667,1875187,25341820,True,False,English
41,42,LCS,24355169,518,214124,46459,1162746,526244,28313058,True,False,English
42,43,ROSHTEIN,23928928,1983,45843,11717,381918,242369,17836875,False,True,English
43,44,ibai,23548554,963,173238,22837,1894953,1602088,44178173,True,False,Spanish
44,45,TFBlade,23238548,2354,35833,9117,1008040,450146,35978104,True,False,English
45,46,Sardoche,22683747,2737,144066,8066,746865,370358,32261961,True,True,French
46,47,LCK,22529308,619,171861,36030,934688,307853,28970100,True,False,English
47,48,Yassuo,22456873,1731,70587,10531,1878416,689957,32362117,True,False,English
48,49,HasanAbi,22322415,3226,44649,6543,470123,340810,14154952,True,False,English
49,50,BeyondTheSummit,22318291,8418,116547,2635,923689,114948,42403593,True,False,English
